Generacion: 1
[8, 3, 2, 4, 6, 7, 1, 5, 0, 9], 2862638.0, 5546356.0, inf, 1
[2, 1, 5, 3, 9, 4, 7, 8, 0, 6], 6803276.0, 3205718.0, inf, 1
[3, 9, 7, 8, 1, 6, 5, 0, 2, 4], 4917310.0, 3235050.0, 0.683765574874, 1
[7, 6, 9, 2, 3, 4, 0, 1, 5, 8], 4354664.0, 3800008.0, 0.447172906495, 1
[2, 5, 6, 1, 0, 3, 9, 8, 7, 4], 2869134.0, 5068584.0, 0.412057738807, 1
[8, 5, 1, 7, 3, 0, 9, 6, 2, 4], 3470998.0, 3954852.0, 0.381415830343, 1
[4, 7, 1, 9, 8, 0, 5, 6, 2, 3], 3013062.0, 4671226.0, 0.31970198094, 1
[3, 2, 8, 5, 6, 4, 0, 1, 7, 9], 4496608.0, 3436064.0, 0.227375771587, 1
[1, 2, 9, 0, 5, 8, 3, 6, 7, 4], 3321474.0, 4079076.0, 0.225215883479, 1
[8, 0, 4, 9, 1, 6, 3, 5, 2, 7], 3271924.0, 4363756.0, 0.217837941753, 1
[1, 2, 9, 0, 5, 8, 3, 7, 6, 4], 3266536.0, 4556324.0, 0.197051998263, 1
[2, 0, 1, 8, 5, 4, 6, 3, 9, 7], 4442400.0, 3485170.0, 0.191509793027, 1
