20

 0 20 59 72 23 105 16 72 22 96 86 30 36 95 30 81 23 88 35 74 
20  0 79 62 43 124 35 88  5 112 92 50 53 103 50 96 28 77 44 59 
59 79  0 119 39 50 46 55 80 59 91 29 41 102 29 51 65 134 60 124 
72 62 119  0 81 169 76 94 66 166 154 93 78 75 91 152 89 16 105 104 
23 43 39 81  0 88  7 51 45 87 93 12 15 83 10 74 40 97 45 97 
105 124 50 169 88  0 94 98 124 35 96 77 92 147 78 45 103 185 91 158 
16 35 46 76  7 94  0 57 38 90 92 17 20 85 16 77 35 92 42 90 
72 88 55 94 51 98 57  0 92 114 140 55 36 49 53 107 92 106 96 146 
22  5 80 66 45 124 38 92  0 111 88 52 57 108 52 95 25 81 41 54 
96 112 59 166 87 35 90 114 111  0 62 75 96 161 77 16 86 183 71 134 
86 92 91 154 93 96 92 140 88 62  0 85 108 177 87 51 65 170 51 85 
30 50 29 93 12 77 17 55 52 75 85  0 23 92  2 62 41 109 41 99 
36 53 41 78 15 92 20 36 57 96 108 23  0 69 21 84 56 93 61 110 
95 103 102 75 83 147 85 49 108 161 177 92 69  0 90 151 118 81 128 161 
30 50 29 91 10 78 16 53 52 77 87  2 21 90  0 64 42 107 42 100 
81 96 51 152 74 45 77 107 95 16 51 62 84 151 64  0 70 168 55 118 
23 28 65 89 40 103 35 92 25 86 65 41 56 118 42 70  0 105 16 59 
88 77 134 16 97 185 92 106 81 183 170 109 93 81 107 168 105  0 121 115 
35 44 60 105 45 91 42 96 41 71 51 41 61 128 42 55 16 121  0 67 
74 59 124 104 97 158 90 146 54 134 85 99 110 161 100 118 59 115 67  0 

 0  0  7  0  0 34  0  0  0 13  0  0 15  5 10021  0 16889 15239  0  0 
 0  0  0 42541  0  0  1  0  0  0 39323  0  0  0 92522 20  1  0 3109 491 
 7  0  0  0 57  1 13  0  0  0 4466 7051  0  6  0 23  0  1 1660  2 
 0 42541  0  0 14  3 37  1  0  0  1  0  0  0 3121  0 1301  0  0  0 
 0  0 57 14  0  0 18 74564  0 115 16811 284  0  0  0  0  0  0 293 31 
34  0  1  3  0  0 402  0  0  0  0  0 1973  0 597  0  0 31  1 231 
 0  1 13 37 18 402  0  0  0 1806 1010 10949 2771 333 134  0  0  2  0 5539 
 0  0  0  1 74564  0  0  0 3203 639 8100 47  0 2280 265  0 15 2168  0  1 
 0  0  0  0  0  0  0 3203  0 19  0  0 69933 704 64  0 10493  0  0 308 
13  0  0  0 115  0 1806 639 19  0  8 168 1461 70  0 2191 45456 11  0 148 
 0 39323 4466  1 16811  0 1010 8100  0  8  0 3313 122 4566  0  0  0  0  0  0 
 0  0 7051  0 284  0 10949 47  0 168 3313  0  0  0 51 23  0 1427 190 18 
15  0  0  0  0 1973 2771  0 69933 1461 122  0  0 50845  0 91836  0 1730 20  0 
 5  0  6  0  0  0 333 2280 704 70 4566  0 50845  0 456  1 5368 4158  0 42 
10021 92522  0 3121  0 597 134 265 64  0  0 51  0 456  0  1  2 5949  3 4593 
 0 20 23  0  0  0  0  0  0 2191  0 23 91836  1  1  0 33  0  0  0 
16889  1  0 1301  0  0  0 15 10493 45456  0  0  0 5368  2 33  0 465  7 45 
15239  0  1  0  0 31  2 2168  0 11  0 1427 1730 4158 5949  0 465  0  0 328 
 0 3109 1660  0 293  1  0  0  0  0  0 190 20  0  3  0  7  0  0  3 
 0 491  2  0 31 231 5539  1 308 148  0 18  0 42 4593  0 45 328  3  0 

 0  0 803  0  0 129  3  0  1 447  0  0  0 6861  7  3  0 361  0  1 
 0  0  0 4959  0  0  0  0  0  1  0  0  0  0 36788 18  0  0 209  0 
803  0  0  0  0  0 282  1  0  0 7276 491  0  6  0 2395 1683 79 82837  4 
 0 4959  0  0 20 42 193 87  0  0  0  0 9232  0  0 13476 16 282  2  0 
 0  0  0 20  0  0 146  4  8  0  4  0  0  4  0  0  0 396 550  0 
129  0  0 42  0  0 38  2  0  0  0 20  1 73 84308  0  0 61  0 43545 
 3  0 282 193 146 38  0  0  0 17392 24873 32  0 10189  2  0  0  0 55107  1 
 0  0  1 87  4  2  0  0  0 90706  0  0  1 12  0  0  0  0  0  0 
 1  0  0  0  8  0  0  0  0 46380  0  0 262  0  2  0  1  0  0 1606 
447  1  0  0  0  0 17392 90706 46380  0 30  0 11877 5815  0 1228 23846  0  1  0 
 0  0 7276  0  4  0 24873  0  0 30  0 18 2327 18113 17064  0 4699 82  6  0 
 0  0 491  0  0 20 32  0  0  0 18  0  0 330 18 1103  0 46 23 53548 
 0  0  0 9232  0  1  0  1 262 11877 2327  0  0 3330  0  0  0 5971  2 4092 
6861  0  6  0  4 73 10189 12  0 5815 18113 330 3330  0 664 2812 66350  0  0 4048 
 7 36788  0  0  0 84308  2  0  2  0 17064 18  0 664  0 36 146  1  3  0 
 3 18 2395 13476  0  0  0  0  0 1228  0 1103  0 2812 36  0  4 10  4  0 
 0  0 1683 16  0  0  0  0  1 23846 4699  0  0 66350 146  4  0 2658 3291 6331 
361  0 79 282 396 61  0  0  0  0 82 46 5971  0  1 10 2658  0 1080  1 
 0 209 82837  2 550  0 55107  0  0  1  6 23  2  0  3  4 3291 1080  0  0 
 1  0  4  0  0 43545  1  0 1606  0  0 53548 4092 4048  0  0 6331  1  0  0 
